,#,Dátum,Év,Város,Utca,Keresztutca,Kimenetel,Baleset típus,Ok-csoport,Ok,LAT,LON,Meghaltak,Súlyos,Könnyű,Résztvevők száma,geometry,Baleset típus főcsoport 
982,17739,2017-04-01,2017,Budapest VIII. kerďż˝let,Nďż˝pszďż˝nhďż˝z,Vay ďż˝dďż˝m,súlyos sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,egyéb,47.4942055555556,19.0795555555556,0,1,0,2,POINT (652419.48577655 238919.10877251398),gyalogos
983,17748,2017-04-02,2017,Budapest VIII. kerďż˝let,Orczy,,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",sebesség nem megfelelő alkalmazása,elsőbbségadásnál,47.4872777777778,19.0925805555556,0,0,1,2,POINT (653401.3312378442 238149.38284505805),jármű-jármű
984,17758,2017-04-03,2017,Budapest VIII. kerďż˝let,Kďż˝bďż˝nyai,,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4892777777778,19.0920527777778,0,0,1,2,POINT (653361.4351890599 238371.7107206476),gyalogos
985,17769,2017-04-05,2017,Budapest VIII. kerďż˝let,ďż˝llďż˝i,,könnyű sérüléses,"Kanyarban, szembe haladó járművek összeütközése, az egyik résztvevő előz vagy forgalmi sávot vált",egyéb,"figyelmetlen, gondatlan vezetés",47.4866,19.0680583333333,0,0,3,2,POINT (651553.4001139383 238073.28037958205),jármű-jármű
986,17780,2017-04-06,2017,Budapest VIII. kerďż˝let,Rďż˝kďż˝czi,Mďż˝rkus Emďż˝lia,súlyos sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4969,19.0699055555556,0,1,0,2,POINT (651692.2927220535 239218.4211599116),jármű-jármű
987,17785,2017-04-07,2017,Budapest VIII. kerďż˝let,Fiumei,,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4977138888889,19.082,0,0,1,3,POINT (652603.5037692705 239309.22471257072),gyalogos
988,17798,2017-04-08,2017,Budapest VIII. kerďż˝let,Kďż˝nyves Kďż˝lmďż˝n,,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt",egyéb,"figyelmetlen, gondatlan vezetés",47.4784388888889,19.1005583333333,0,0,1,3,POINT (654003.175489905 237167.08948802063),jármű-jármű
989,17830,2017-04-11,2017,Budapest VIII. kerďż˝let,Jďż˝zsef,Csepreghy,könnyű sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű JOBBRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",egyenes irányban haladó jármű forgalmának akadályozása,47.4884166666667,19.0703583333333,0,0,1,2,POINT (651726.6698592177 238275.29414875616),jármű-jármű
990,17846,2017-04-13,2017,Budapest VIII. kerďż˝let,Mďż˝zeum,,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt",egyéb,egyéb,47.4938527777778,19.06035,0,0,1,3,POINT (650972.3852647126 238879.49285177927),jármű-jármű
991,17868,2017-04-16,2017,Budapest VIII. kerďż˝let,Jďż˝zsef,,súlyos sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,tilos jelzésen való áthaladás,47.48751666666669,19.0702666666667,0,1,0,2,POINT (651719.7899407085 238175.23466470346),gyalogos
992,17881,2017-04-18,2017,Budapest VIII. kerďż˝let,Rďż˝kďż˝czi,,könnyű sérüléses,Egyéb egyjárműves (magányos) közlekedési baleset,"irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4967222222222,19.0693027777778,0,0,3,1,POINT (651646.8819778479 239198.64443592948),egy jármű
993,17887,2017-04-19,2017,Budapest VIII. kerďż˝let,Teleki Lďż˝szlďż˝,,könnyű sérüléses,"Egyéb keresztirányból érkező, kanyarodó járműütközések",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.49385833333329,19.0859083333333,0,0,1,3,POINT (652898.1753438622 238880.71542881694),jármű-jármű
994,17888,2017-04-19,2017,Budapest VIII. kerďż˝let,Baross,,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4894083333333,19.0910472222222,0,0,1,1,POINT (653285.6533366692 238386.1835860509),gyalogos
995,17901,2017-04-20,2017,Budapest VIII. kerďż˝let,Karďż˝csony Sďż˝ndor,,súlyos sérüléses,Gyalogos elütése útkereszteződésen kívül,gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4910055555556,19.0847638888889,0,1,0,2,POINT (652812.0896544879 238563.51672889522),gyalogos
996,17918,2017-04-23,2017,Budapest VIII. kerďż˝let,Baross,Szigetvďż˝ri,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt",egyéb,"figyelmetlen, gondatlan vezetés",47.4896083333333,19.0751555555556,0,0,1,2,POINT (652088.1269606607 238407.88964531352),jármű-jármű
997,17931,2017-04-25,2017,Budapest VIII. kerďż˝let,Vajda Pďż˝ter,Villďż˝m,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4857916666667,19.0927972222222,0,0,1,2,POINT (653417.7523171913 237984.17363978305),jármű-jármű
998,17938,2017-04-25,2017,Budapest VIII. kerďż˝let,Dankďż˝,,könnyű sérüléses,"Kanyarban, szembe haladó járművek ütközése, előzés és forgalmi sávváltás nélkül",sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4894277777778,19.0844194444444,0,0,1,3,POINT (652786.2152163248 238388.09511574317),jármű-jármű
999,17939,2017-04-25,2017,Budapest VIII. kerďż˝let,Baross,,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,elsőbbség meg nem adása,a forgalomba való bekapcsolódáskor,47.4891222222222,19.06495,0,0,1,1,POINT (651319.1000379139 238353.63488293724),jármű-jármű
1000,17941,2017-04-25,2017,Budapest VIII. kerďż˝let,ďż˝llďż˝i,,könnyű sérüléses,ütközés JOBBRÓL elinduló járművel,elsőbbség meg nem adása,a forgalomba való bekapcsolódáskor,47.4863333333333,19.0686833333333,0,0,1,2,POINT (651600.5072046805 238043.6456341148),jármű-jármű
1001,17959,2017-04-26,2017,Budapest VIII. kerďż˝let,Kďż˝bďż˝nyai,,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4871416666667,19.1052444444444,0,0,1,1,POINT (654355.66964129 238134.86529121816),gyalogos
1002,17964,2017-04-27,2017,Budapest VIII. kerďż˝let,Jďż˝zsef,,súlyos sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.",sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4959361111111,19.0707166666667,0,1,0,3,POINT (651753.4358299263 239111.2774843579),gyalogos
1003,18012,2017-05-03,2017,Budapest VIII. kerďż˝let,ďż˝llďż˝i,,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,tilos jelzésen való áthaladás,47.4827,19.0788166666667,0,0,1,2,POINT (652364.3066288221 237639.9558955647),gyalogos
1004,18019,2017-05-04,2017,Budapest VIII. kerďż˝let,Nďż˝met,,könnyű sérüléses,Egyéb egyjárműves (magányos) közlekedési baleset,sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4904416666667,19.0739222222222,0,0,1,1,POINT (651995.159255113 238500.50471878037),egy jármű
1005,18041,2017-05-06,2017,Budapest VIII. kerďż˝let,Kerepesi,,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.49945,19.1003388888889,0,0,1,2,POINT (653985.0888059313 239502.9904832479),jármű-jármű
1006,18043,2017-05-06,2017,Budapest VIII. kerďż˝let,Kďż˝lvin,,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.4899638888889,19.0618611111111,0,0,2,2,POINT (651086.3191942641 238447.16311850448),gyalogos
1007,18064,2017-05-09,2017,Budapest VIII. kerďż˝let,Orczy,,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4811333333333,19.0933305555556,0,0,1,3,POINT (653458.2410101584 237466.30669841584),jármű-jármű
1008,18085,2017-05-11,2017,Budapest VIII. kerďż˝let,Baross,,súlyos sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4996305555556,19.0828138888889,0,1,0,1,POINT (652664.7315282365 239522.33743414283),gyalogos
1009,18094,2017-05-12,2017,Budapest VIII. kerďż˝let,ďż˝llďż˝i,,könnyű sérüléses,Egyéb egyjárműves (magányos) közlekedési baleset,sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4842555555556,19.0744277777778,0,0,1,1,POINT (652033.4821889633 237812.77598865764),egy jármű
1010,18146,2017-05-16,2017,Budapest VIII. kerďż˝let,Baross,Karďż˝csony Sďż˝ndor,súlyos sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4891916666667,19.0864361111111,0,1,0,2,POINT (652938.1940787548 238361.91708798573),jármű-jármű
1011,18242,2017-05-24,2017,Budapest VIII. kerďż˝let,Kerepesi,,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a forgalomba való bekapcsolódáskor,47.4995666666667,19.1030055555556,0,0,1,2,POINT (654185.9887045618 239516.09742969595),jármű-jármű
1012,18249,2017-05-24,2017,Budapest VIII. kerďż˝let,ďż˝llďż˝i,,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4835861111111,19.0762972222222,0,0,1,2,POINT (652174.3945463422 237738.39882318248),jármű-jármű
1013,18289,2017-05-26,2017,Budapest VIII. kerďż˝let,Hungďż˝ria,,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4911972222222,19.1087805555556,0,0,2,3,POINT (654621.7978535538 238585.9412290284),gyalogos
1014,18295,2017-05-27,2017,Budapest VIII. kerďż˝let,Somogyi Bďż˝la,,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4963166666667,19.0696027777778,0,0,1,1,POINT (651669.4975299385 239153.56269722164),gyalogos
1015,18351,2017-05-31,2017,Budapest VIII. kerďż˝let,Baross,,könnyű sérüléses,ütközés JOBBRÓL történő előzés közben,sebesség nem megfelelő alkalmazása,előírt sebesség meg nem tartása,47.4883388888889,19.0821166666667,0,0,1,2,POINT (652612.7410788605 238266.96077340806),jármű-jármű
1016,18360,2017-05-31,2017,Budapest VIII. kerďż˝let,Illďż˝s,Dugonics,könnyű sérüléses,Pályaelhagyás járművel útkereszteződésben a menetirány szerinti JOBB oldalon,sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4868333333333,19.0850472222222,0,0,1,1,POINT (652833.6560716158 238099.67946402304),egy jármű
1017,18376,2017-06-01,2017,Budapest VIII. kerďż˝let,Jďż˝zsef,,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4927416666667,19.0710083333333,0,0,1,2,POINT (651775.5136283527 238756.1405311049),jármű-jármű
1018,18378,2017-06-02,2017,Budapest VIII. kerďż˝let,Jďż˝zsef,,súlyos sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,tilos jelzésen való áthaladás,47.4968861111111,19.0704472222222,0,1,0,2,POINT (651733.1047535078 239216.8883358598),gyalogos
1019,18401,2017-06-03,2017,Budapest VIII. kerďż˝let,Jďż˝zsef,,könnyű sérüléses,Gyalogos elütése útkereszteződésen kívül,gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4927416666667,19.0710083333333,0,0,1,2,POINT (651775.5136283527 238756.1405311049),gyalogos
1020,18404,2017-06-03,2017,Budapest VIII. kerďż˝let,Szentkirďż˝lyi,,súlyos sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4946027777778,19.0646777777778,0,1,0,1,POINT (651298.4610701749 238962.93244612616),gyalogos
1021,18411,2017-06-04,2017,Budapest VIII. kerďż˝let,Rďż˝kďż˝czi,,súlyos sérüléses,Utasbalesetek,"irányváltoztatási, haladási, bekanyarodási hiba",egyenes irányban haladó jármű forgalmának akadályozása,47.4981638888889,19.0744166666667,0,1,0,2,POINT (652032.1336376822 239359.03702783183),utasbaleset
1022,18418,2017-06-05,2017,Budapest VIII. kerďż˝let,Baross,,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",gyalogosok hibája,tilos jelzésen való áthaladás,47.4996305555556,19.0828138888889,0,0,1,2,POINT (652664.7315282365 239522.33743414283),gyalogos
1023,18427,2017-06-06,2017,Budapest VIII. kerďż˝let,Kďż˝nyves Kďż˝lmďż˝n,,könnyű sérüléses,ütközés JOBBRÓL BALRA történő sávváltás közben,"irányváltoztatási, haladási, bekanyarodási hiba",egyenes irányban haladó jármű forgalmának akadályozása,47.48515,19.1064055555556,0,0,1,2,POINT (654443.3328923222 237913.50586528215),jármű-jármű
1024,18432,2017-06-06,2017,Budapest VIII. kerďż˝let,Fiumei,,könnyű sérüléses,ütközés BALRÓL JOBBRA történő sávváltás közben,"irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4958916666667,19.0836,0,0,1,2,POINT (652724.1438735218 239106.6913228433),jármű-jármű
1025,18451,2017-06-07,2017,Budapest VIII. kerďż˝let,Nagyvďż˝rad,Haller,súlyos sérüléses,"Egyéb keresztirányból érkező, kanyarodó járműütközések",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4790916666667,19.0894472222222,0,1,0,2,POINT (653165.6848680401 237239.16446882422),jármű-jármű
1026,18489,2017-06-11,2017,Budapest VIII. kerďż˝let,Kerepesi,,súlyos sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.5000277777778,19.1078027777778,0,1,0,2,POINT (654547.3758457678 239567.6244304927),gyalogos
1027,18493,2017-06-12,2017,Budapest VIII. kerďż˝let,Kďż˝bďż˝nyai,Kďż˝bďż˝nyai,súlyos sérüléses,"Keresztirányból érkező szembe haladó járművek ütközése, az egyik jármű JOBBRA kanyarodik",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4886111111111,19.0974416666667,0,1,0,2,POINT (653767.5629892561 238297.8338800022),jármű-jármű
1028,18495,2017-06-12,2017,Budapest VIII. kerďż˝let,Baross,,halálos,Azonos irányból érkező járművek ütközése az egyik jármű megfordul,"irányváltoztatási, haladási, bekanyarodási hiba",szabálytalan megfordulás,47.4889305555556,19.0821166666667,1,1,4,3,POINT (652612.7128521131 238332.73936523343),jármű-jármű
1029,18498,2017-06-12,2017,Budapest VIII. kerďż˝let,Szerdahelyi,,súlyos sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4921944444444,19.0820222222222,0,1,0,1,POINT (652605.4406408436 238695.59963557945),gyalogos
1030,18515,2017-06-13,2017,Budapest VIII. kerďż˝let,Kerepesi,,könnyű sérüléses,Utasbalesetek,"irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4995333333333,19.1001722222222,0,0,7,2,POINT (653972.5258817171 239512.24679822917),utasbaleset
1031,18539,2017-06-15,2017,Budapest VIII. kerďż˝let,Rďż˝kďż˝czi,,súlyos sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4943416666667,19.0603583333333,0,1,0,2,POINT (650973.0049793717 238933.84529790998),jármű-jármű
1032,18575,2017-06-18,2017,Budapest VIII. kerďż˝let,Orczy,,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.4845083333333,19.0928916666667,0,0,1,2,POINT (653424.9505710363 237841.5031275824),gyalogos
1033,18600,2017-06-20,2017,Budapest VIII. kerďż˝let,Hungďż˝ria,,súlyos sérüléses,"Egyéb szembe haladó, kanyarodó járművek ütközése","irányváltoztatási, haladási, bekanyarodási hiba",egyenes irányban haladó jármű forgalmának akadályozása,47.4944805555556,19.1088722222222,0,1,0,2,POINT (654628.423576171 238950.97176953935),jármű-jármű
1034,18638,2017-06-22,2017,Budapest VIII. kerďż˝let,Mďż˝tyďż˝s,Mďż˝tyďż˝s,könnyű sérüléses,"Kanyarban, szembe haladó járművek összeütközése, az egyik résztvevő előz vagy forgalmi sávot vált",sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4915666666667,19.0792944444444,0,0,1,2,POINT (652399.9267928392 238625.72195734782),jármű-jármű
1035,18655,2017-06-24,2017,Budapest VIII. kerďż˝let,Orczy,,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",gyalogosok hibája,tilos jelzésen való áthaladás,47.4857277777778,19.0927166666667,0,0,1,2,POINT (653411.6856390128 237977.06736183408),gyalogos
1036,18656,2017-06-24,2017,Budapest VIII. kerďż˝let,Fiumei,,könnyű sérüléses,Egyéb egyjárműves (magányos) közlekedési baleset,sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4956861111111,19.0842722222222,0,0,1,1,POINT (652774.8035124071 239083.86153435794),egy jármű
1037,18693,2017-06-28,2017,Budapest VIII. kerďż˝let,Szigony,,könnyű sérüléses,Egyéb szembe haladó járművek ütközése,elsőbbség meg nem adása,a forgalomba való bekapcsolódáskor,47.4887166666667,19.0800083333333,0,0,1,2,POINT (652453.8472198169 238308.89421510953),jármű-jármű
1038,18702,2017-06-28,2017,Budapest VIII. kerďż˝let,Kďż˝bďż˝nyai,,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4866722222222,19.1070472222222,0,0,1,2,POINT (654491.5630510228 238082.77486592066),jármű-jármű
1039,18704,2017-06-28,2017,Budapest VIII. kerďż˝let,Harminckettesek,,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4892138888889,19.0719694444444,0,0,1,1,POINT (651848.0511211134 238363.96049007843),gyalogos
1040,18712,2017-06-29,2017,Budapest VIII. kerďż˝let,Kďż˝bďż˝nyai,,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4871416666667,19.1052444444444,0,0,1,1,POINT (654355.66964129 238134.86529121816),gyalogos
1041,18720,2017-06-30,2017,Budapest VIII. kerďż˝let,Orczy,,könnyű sérüléses,"Szembe haladó járművek ütközése útkereszteződésben, az egyik résztvevő BALRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",a balra kanyarodó jármű vezetője a  szemben egyenesen haladó és jobbra kanyarodó járműnek nem biztosított elsőbbséget,47.4868722222222,19.0927388888889,0,0,1,2,POINT (653413.2884236467 238104.30192419112),jármű-jármű
1042,18722,2017-06-30,2017,Budapest VIII. kerďż˝let,Baross,,könnyű sérüléses,Utoléréses ütközés két vagy több mozgásban lévő résztvevővel,"irányváltoztatási, haladási, bekanyarodási hiba",egyéb,47.4895861111111,19.0628111111111,0,0,1,2,POINT (651157.9134840685 238405.17622678768),jármű-jármű
1043,18731,2017-06-30,2017,Budapest VIII. kerďż˝let,Festetics Gyďż˝rgy,,könnyű sérüléses,Egyéb egyjárműves (magányos) közlekedési baleset,sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4986944444444,19.0825527777778,0,0,1,1,POINT (652645.1044996225 239418.25630966644),egy jármű
1044,18733,2017-06-30,2017,Budapest VIII. kerďż˝let,Vďż˝g,Bďż˝rkocsis,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4947694444444,19.0729944444444,0,0,2,5,POINT (651925.0974793013 238981.62408191635),jármű-jármű
1045,18765,2017-07-03,2017,Budapest VIII. kerďż˝let,Kerepesi,,könnyű sérüléses,ütközés JOBBRÓL BALRA történő sávváltás közben,"irányváltoztatási, haladási, bekanyarodási hiba",egyenes irányban haladó jármű forgalmának akadályozása,47.4995555555556,19.0951388888889,0,0,1,2,POINT (653593.3093863698 239514.47924203062),jármű-jármű
1046,18795,2017-07-06,2017,Budapest VIII. kerďż˝let,Fiumei,,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4903055555556,19.0906888888889,0,0,1,3,POINT (653258.5973340805 238485.91776078573),jármű-jármű
1047,18800,2017-07-06,2017,Budapest VIII. kerďż˝let,Hungďż˝ria,Szďż˝zados,súlyos sérüléses,"Keresztirányból érkező, azonos irányba továbbhaladó  járművek ütközése, az egyik jármű JOBBRA  kanyarodik",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4949916666667,19.1088833333333,0,1,0,2,POINT (654629.2169312937 239007.79532202033),jármű-jármű
1048,18823,2017-07-07,2017,Budapest VIII. kerďż˝let,Fiumei,Alfďż˝ldi,könnyű sérüléses,"Egyéb szembe haladó, kanyarodó járművek ütközése",sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4956861111111,19.0842722222222,0,0,1,2,POINT (652774.8035124071 239083.86153435794),jármű-jármű
1049,18835,2017-07-09,2017,Budapest VIII. kerďż˝let,Golgota,,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, nem útkereszteződésben (telek, parkoló, garage stb.)",elsőbbség meg nem adása,a forgalomba való bekapcsolódáskor,47.4851472222222,19.0982805555556,0,0,1,2,POINT (653831.0234217976 237912.77583260136),jármű-jármű
1050,18865,2017-07-11,2017,Budapest VIII. kerďż˝let,Rďż˝kďż˝czi,,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.4954388888889,19.0647,0,0,1,2,POINT (651300.1162905868 239055.8876883859),gyalogos
1051,18883,2017-07-12,2017,Budapest VIII. kerďż˝let,Baross,,könnyű sérüléses,Gyalogos elütése útkereszteződésen kívül,gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.489425,19.0778055555556,0,0,1,2,POINT (652287.8249651467 238387.57883137697),gyalogos
1052,18893,2017-07-13,2017,Budapest VIII. kerďż˝let,Rďż˝kďż˝czi,Mďż˝rkus Emďż˝lia,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4969,19.0699055555556,0,0,1,2,POINT (651692.2927220535 239218.4211599116),jármű-jármű
1053,18894,2017-07-13,2017,Budapest VIII. kerďż˝let,Somogyi Bďż˝la,Blaha Lujza,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4959305555556,19.0696194444444,0,0,1,1,POINT (651670.7648417269 239110.63700687964),gyalogos
1054,18903,2017-07-14,2017,Budapest VIII. kerďż˝let,ďż˝llďż˝i,,súlyos sérüléses,Gyalogos elütése útkereszteződésen kívül,gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.4835861111111,19.0762972222222,0,1,0,2,POINT (652174.3945463422 237738.39882318248),gyalogos
1055,18930,2017-07-15,2017,Budapest VIII. kerďż˝let,Kerepesi,,könnyű sérüléses,ütközés BALRÓL történő előzés közben,egyéb,megfelelő oldaltávolság hiánya,47.4995361111111,19.0917638888889,0,0,1,3,POINT (653339.0357047537 239512.17150833172),jármű-jármű
1056,18933,2017-07-16,2017,Budapest VIII. kerďż˝let,Dďż˝zsa Gyďż˝rgy,Verseny,súlyos sérüléses,"Pályaelhagyás járművel kanyarban, a menetirány szerinti JOBB oldalon",sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.50048333333329,19.1017916666667,0,1,0,1,POINT (654094.4641007843 239617.94525869144),egy jármű
1057,18935,2017-07-16,2017,Budapest VIII. kerďż˝let,Nagy Templom,,könnyű sérüléses,Menetirány szerint a JOBB oldalon várakozó járműnek ütközés,egyéb,egyéb,47.4863333333333,19.0762194444444,0,0,1,2,POINT (652168.424929222 238043.81910653476),jármű-jármű
1058,18964,2017-07-18,2017,Budapest VIII. kerďż˝let,Teleki Lďż˝szlďż˝,,súlyos sérüléses,Egyéb egyjárműves (magányos) közlekedési baleset,sebesség nem megfelelő alkalmazása,a jármű és a rakomány sajátosságaihoz,47.4935527777778,19.0824333333333,0,1,0,1,POINT (652636.3529342931 238846.6259754023),egy jármű
1059,18971,2017-07-19,2017,Budapest VIII. kerďż˝let,Teleki Lďż˝szlďż˝,,súlyos sérüléses,Gyalogos elütése útkereszteződésen kívül,gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.4930805555556,19.0828277777778,0,1,0,2,POINT (652666.0970326394 238794.13951031808),gyalogos
1060,18973,2017-07-19,2017,Budapest VIII. kerďż˝let,Nap,,könnyű sérüléses,"Egyéb, várakozó járműnek ütközés",sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.48774166666671,19.0761972222222,0,0,1,1,POINT (652166.6949439481 238200.3900270877),gyalogos
