,#,Dátum,Év,Város,Utca,Keresztutca,Kimenetel,Baleset típus,Ok-csoport,Ok,LAT,LON,Meghaltak,Súlyos,Könnyű,Résztvevők száma,geometry,Baleset típus főcsoport
28,384,2012-02-27,2012,Budapest VIII. kerďż˝let,Rezsďż˝,,könnyű sérüléses,"Pályaelhagyás járművel egyenes úton, menetirány szerinti JOBB oldalon",sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4793,19.0954055555556,0,0,1,1,POINT (653614.749463188 237262.57782800717),egy jármű
29,393,2012-02-28,2012,Budapest VIII. kerďż˝let,Gyďż˝rffy Istvďż˝n,,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,egyéb,"figyelmetlen, gondatlan vezetés",47.4773888888889,19.0996388888889,0,0,1,1,POINT (653933.9525473296 237050.31032996584),gyalogos
30,411,2012-03-02,2012,Budapest VIII. kerďż˝let,Baross,Szďż˝z,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4893888888889,19.0781444444444,0,0,1,2,POINT (652313.3634972712 238383.57377972204),jármű-jármű
31,415,2012-03-02,2012,Budapest VIII. kerďż˝let,Kerepesi,,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.49953888888889,19.0829416666667,0,0,1,3,POINT (652674.36286374 239512.15057812067),jármű-jármű
32,446,2012-03-07,2012,Budapest VIII. kerďż˝let,Diďż˝szegi Sďż˝muel,,könnyű sérüléses,ütközés tolató járművel,"irányváltoztatási, haladási, bekanyarodási hiba",szabálytalan hátramenet,47.4853055555556,19.0899972222222,0,0,1,2,POINT (653206.7721630579 237930.0146417545),jármű-jármű
33,460,2012-03-09,2012,Budapest VIII. kerďż˝let,Kďż˝bďż˝nyai,,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.488,19.1018583333333,0,0,1,1,POINT (654100.4328229225 238230.11105041066),gyalogos
34,485,2012-03-13,2012,Budapest VIII. kerďż˝let,Prďż˝ter,Vajdahunyad,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4868027777778,19.0830916666667,0,0,3,2,POINT (652686.2892408316 238096.2155288859),jármű-jármű
35,489,2012-03-13,2012,Budapest VIII. kerďż˝let,Illďż˝s,Kďż˝lvďż˝ria,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4868333333333,19.0850472222222,0,0,1,2,POINT (652833.6560716158 238099.67946402304),jármű-jármű
36,511,2012-03-16,2012,Budapest VIII. kerďż˝let,Rďż˝kďż˝czi,,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.",elsőbbség meg nem adása,a forgalomba való bekapcsolódáskor,47.4969,19.0699055555556,0,0,1,2,POINT (651692.2927220535 239218.4211599116),gyalogos
37,513,2012-03-16,2012,Budapest VIII. kerďż˝let,Kďż˝nyves Kďż˝lmďż˝n,Elnďż˝k,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4755861111111,19.0986305555556,0,0,2,2,POINT (653858.0805668101 236849.8378957737),jármű-jármű
38,529,2012-03-19,2012,Budapest VIII. kerďż˝let,Hďż˝s,Hungďż˝ria,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4964444444444,19.1088888888889,0,0,4,2,POINT (654629.510893739 239169.30862520996),jármű-jármű
