Dátum,Év,Város,Kimenetel,Baleset típus,Ok-csoport,Ok,LAT,LON,Meghaltak,Súlyos,Könnyű,Résztvevők száma,geometry,Baleset típus főcsoport,street
2012-02-27,2012,Budapest VIII. kerület,súlyos sérüléses,Azonos irányból érkező járművek ütközése a belső sávban haladó jármű JOBBRA kanyarodik,"irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4892527777778,19.086375,0,1,0,2,POINT (652933.58573788 238368.70889307404),jármű-jármű,[' Karácsony Sándor utca']
2012-02-27,2012,Budapest VIII. kerület,súlyos sérüléses,"A menetirány szerint JOBB oldalon álló, várakozó jármű, egyéb akadály előtt (mögött) áthaladó gyalogos elütése",gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4867555555556,19.0766,0,1,0,2,POINT (652197.0865833953 238090.76988419148),gyalogos,[' Práter utca']
2012-02-27,2012,Budapest VIII. kerület,könnyű sérüléses,"Pályaelhagyás járművel egyenes úton, menetirány szerinti JOBB oldalon",sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4793,19.0954055555556,0,0,1,1,POINT (653614.749463188 237262.57782800717),egy jármű,"['Magyarok Nagyasszonya-templom', ' 1', ' Magyarok Nagyasszonya tér']"
2012-02-28,2012,Budapest VIII. kerület,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,egyéb,"figyelmetlen, gondatlan vezetés",47.4773888888889,19.0996388888889,0,0,1,1,POINT (653933.9525473296 237050.31032996584),gyalogos,[' Villám utca']
2012-03-02,2012,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4893888888889,19.0781444444444,0,0,1,2,POINT (652313.3634972712 238383.57377972204),jármű-jármű, Baross utca
2012-03-02,2012,Budapest VIII. kerület,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.49953888888889,19.0829416666667,0,0,1,3,POINT (652674.36286374 239512.15057812067),jármű-jármű,Keleti pályaudvar  Kerepesi út
2012-03-07,2012,Budapest VIII. kerület,könnyű sérüléses,ütközés tolató járművel,"irányváltoztatási, haladási, bekanyarodási hiba",szabálytalan hátramenet,47.4853055555556,19.0899972222222,0,0,1,2,POINT (653206.7721630579 237930.0146417545),jármű-jármű,"[' Diószegi Sámuel utca', ' Orczy Fórum Városközpont']"
2012-03-09,2012,Budapest VIII. kerület,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.488,19.1018583333333,0,0,1,1,POINT (654100.4328229225 238230.11105041066),gyalogos,"['B1-es vásárcsarnok', ' Kőbányai út']"
2012-03-13,2012,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4868027777778,19.0830916666667,0,0,3,2,POINT (652686.2892408316 238096.2155288859),jármű-jármű,[' Práter utca']
2012-03-13,2012,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4868333333333,19.0850472222222,0,0,1,2,POINT (652833.6560716158 238099.67946402304),jármű-jármű,[' Illés utca']
2012-03-16,2012,Budapest VIII. kerület,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.",elsőbbség meg nem adása,a forgalomba való bekapcsolódáskor,47.4969,19.0699055555556,0,0,1,2,POINT (651692.2927220535 239218.4211599116),gyalogos,"['Blaha Lujza tér', ' Rákóczi út']"
2012-03-16,2012,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4755861111111,19.0986305555556,0,0,2,2,POINT (653858.0805668101 236849.8378957737),jármű-jármű,Nemzeti Dohánybolt  Népliget aluljáró  Szent László Kórház
2012-03-19,2012,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4964444444444,19.1088888888889,0,0,4,2,POINT (654629.510893739 239169.30862520996),jármű-jármű,"['Aréna Business Campus', ' Hős utca']"
